Counter,index,NEIGHBORHOOD,BUILD_CLASS_CAT,TAX CLASS AT PRESENT,BLOCK,LOT,BUILD_CLASS_PRESENT,ADDRESS,ZIP,RES_UNITS,COM_UNITS,TOTAL_UNITS,LAND_SQ_FT,GROSS_SQ_FT,YEAR_BUILT,TAX_CLASS,BUILD_CLASS_SALE,SALE_PRICE,SALE_DATE,Counter,LG_SALE_PRICE,SHORT_DATE,LOWER,UPPER,NOT_RANGE,NUM_YEAR_BUILT,TO_DATE,NUMERIC_DATE,BUILT_YEAR,NUMERIC_YEAR
55,55.0,ALPHABET_CITY_,09_COOPS_-_WALKUP_APARTMENTS_,2,377,62,C6,"_249_EAST_7TH_STREET,_10_",10009.0,0,,1.0,1517.8952044539487,5115.319517171404,2001.0,2,_C6_,960000,2013-01-28 00:00:00.000000000,55.0,13.77468856344402,28-01-13,False,False,False,18,2013-01-28 00:00:00.000000000,386.0,1970-01-01 00:00:00.000002001,6.3694364398690975e-15
62,62.0,ALPHABET_CITY_,09_COOPS_-_WALKUP_APARTMENTS_,2,389,17,C6,"_198_EAST_7_STREET,_8_",10009.0,0,,1.0,1181.112205965729,3980.3579992989985,1930.0,2,_C6_,747000,2012-12-03 00:00:00.000000000,62.0,13.523820464114955,03-12-12,False,False,False,578,2012-03-12 00:00:00.000000000,64.0,1970-01-01 00:00:00.000001930,4.119536005885486e-15
67,67.0,ALPHABET_CITY_,09_COOPS_-_WALKUP_APARTMENTS_,2,389,54,C6,"_613_EAST_6TH_STREET,_5B_",10009.0,0,,1.0,1117.8665724468142,3767.2196860835234,1939.0,2,_C6_,707000,2013-06-25 00:00:00.000000000,67.0,13.468785944878709,25-06-13,False,False,False,120,2013-06-25 00:00:00.000000000,534.0,1970-01-01 00:00:00.000001939,4.404734652446789e-15
69,69.0,ALPHABET_CITY_,09_COOPS_-_WALKUP_APARTMENTS_,2,391,56,C6,"_307_EAST_8TH_STREET,_3A_",10009.0,0,,1.0,1086.243755687357,3660.650529475786,1900.0,2,_C6_,687000,2013-08-01 00:00:00.000000000,69.0,13.440089571204487,01-08-13,False,False,False,751,2013-01-08 00:00:00.000000000,366.0,1970-01-01 00:00:00.000001900,3.168873850681143e-15
78,78.0,ALPHABET_CITY_,09_COOPS_-_WALKUP_APARTMENTS_,2C,402,39,C6,"_102_AVENUE_B,_4_",10009.0,0,,1.0,1400.8907824439568,4721.013637722775,1900.0,2,_C6_,886000,2013-07-17 00:00:00.000000000,78.0,13.694472229587218,17-07-13,False,False,False,751,2013-07-17 00:00:00.000000000,556.0,1970-01-01 00:00:00.000001900,3.168873850681143e-15
82,82.0,ALPHABET_CITY_,09_COOPS_-_WALKUP_APARTMENTS_,2,404,13,C6,"_518_EAST_11TH_STREET,_2B_",10009.0,0,,1.0,1019.8358404924967,3436.855300599537,1900.0,2,_C6_,645000,2013-04-26 00:00:00.000000000,82.0,13.37700559577791,26-04-13,False,False,False,751,2013-04-26 00:00:00.000000000,474.0,1970-01-01 00:00:00.000001900,3.168873850681143e-15
88,88.0,ALPHABET_CITY_,09_COOPS_-_WALKUP_APARTMENTS_,2C,404,49,C6,"_313_EAST_10TH_STREET,_3_",10009.0,0,,1.0,1336.0640080870694,4502.546866676913,1900.0,2,_C6_,845000,2012-10-26 00:00:00.000000000,88.0,13.64709190633931,26-10-12,False,False,False,751,2012-10-26 00:00:00.000000000,292.0,1970-01-01 00:00:00.000001900,3.168873850681143e-15
93,93.0,ALPHABET_CITY_,10_COOPS_-_ELEVATOR_APARTMENTS_,2,385,56,D4,"_226_EAST_2ND_STREET,_1B_",10009.0,0,,1.0,1437.2570217173327,4843.568167821673,1900.0,2,_D4_,909000,2012-09-14 00:00:00.000000000,93.0,13.720100373159616,14-09-12,False,False,False,751,2012-09-14 00:00:00.000000000,250.0,1970-01-01 00:00:00.000001900,3.168873850681143e-15
94,94.0,ALPHABET_CITY_,10_COOPS_-_ELEVATOR_APARTMENTS_,2,385,56,D4,"_228_EAST_2ND_STREET,_1D_",10009.0,0,,1.0,1375.592529036391,4635.758312436585,1900.0,2,_D4_,870000,2013-04-09 00:00:00.000000000,94.0,13.676248490630767,09-04-13,False,False,False,751,2013-09-04 00:00:00.000000000,605.0,1970-01-01 00:00:00.000001900,3.168873850681143e-15
96,96.0,ALPHABET_CITY_,10_COOPS_-_ELEVATOR_APARTMENTS_,2,386,36,D0,"_300_EAST_4_STREET,_4B_",10009.0,0,,1.0,1083.0814740114113,3649.993613815012,1940.0,2,_D0_,685000,2012-12-20 00:00:00.000000000,96.0,13.437174117244362,20-12-12,False,False,False,165,2012-12-20 00:00:00.000000000,347.0,1970-01-01 00:00:00.000001940,4.4364233909536e-15
